osm_id,coll_date,num_households_premises,num_shops_premises,name,population,building_type,type_waste_generator,osmid,ward,building_cluster,region,total_waste,dry_waste,wet_waste,hazardous_waste
202061691,01-Oct-21,17,31,"Transit Camp, Behram Baug",,commercial,,1,Ward 61,ANAND NAGAR1,ANAND NAGAR,615,110,494,11
202516362,01-Oct-21,87,45,random_5,,yes,,1,Ward 61,GREEN PARK,Heera Panna,1109,277,402,430
202516364,01-Oct-21,14,26,Heera Panna,,commercial,,1,Ward 61,GREEN PARK,Heera Panna,552,283,190,79
202555836,01-Oct-21,24,34,Park Paradise,,yes,,1,Ward 61,Walawalkar1,Walawalkar,1326,433,436,457
202555854,01-Oct-21,88,34,Park View,,yes,,1,Ward 61,Walawalkar1,Walawalkar,692,235,375,82
227895886,01-Oct-21,54,5,random_4,,residential,,1,Ward 61,unk11,unknown_1,951,403,379,169
227895887,01-Oct-21,29,8,Evershine Greens,,apartments,,1,Ward 61,unk1,unknown_4,708,366,155,187
227895889,01-Oct-21,31,43,random_2,,apartments,,1,Ward 61,JBCN SCHOOL LANE1,Serenity,925,456,466,3
227895891,01-Oct-21,8,14,random_1,,residential,,1,Ward 61,unk1,unknown_4,990,38,500,452
227895892,01-Oct-21,45,28,random_3,,residential,,1,Ward 61,unk11,unknown_1,772,405,56,311
227895894,01-Oct-21,86,4,random_6,,residential,,1,Ward 61,JBCN SCHOOL LANE1,Serenity,414,104,269,41
227895895,01-Oct-21,90,29,random_7,,residential,,1,Ward 61,unk11,unknown_1,481,328,31,122
227895896,01-Oct-21,14,47,random_8,,residential,,1,Ward 61,unk11,unknown_1,1169,480,336,353
227895898,01-Oct-21,2,46,random_9,,residential,,1,Ward 61,JBCN SCHOOL LANE2,Serenity,274,13,253,8
227895899,01-Oct-21,1,40,random_11,,residential,,1,Ward 61,unk11,unknown_1,889,4,467,418
227895902,01-Oct-21,59,32,Evershine Greens,,apartments,,1,Ward 61,unk1,unknown_4,1168,309,435,424
227895903,01-Oct-21,9,33,random_10,,residential,,1,Ward 61,JBCN SCHOOL LANE2,Serenity,607,430,23,154
227895904,01-Oct-21,48,34,random_13,,residential,,1,Ward 61,unk11,unknown_1,1245,485,482,278
227895905,01-Oct-21,82,31,random_12,,residential,,1,Ward 61,unk1,unknown_4,1091,320,327,444
227895908,01-Oct-21,16,18,random_14,,residential,,1,Ward 61,unk11,unknown_1,565,245,52,268
227895909,01-Oct-21,60,23,random_15,,residential,,1,Ward 61,unk11,unknown_1,1265,349,497,419
227895910,01-Oct-21,99,2,random_16,,residential,,1,Ward 61,unk11,unknown_1,244,43,132,69
227895911,01-Oct-21,31,39,random_17,,residential,,1,Ward 61,unk11,unknown_1,610,16,318,276
227895912,01-Oct-21,48,28,random_18,,residential,,1,Ward 61,unk11,unknown_1,506,111,218,177
227895914,01-Oct-21,25,47,random_19,Off New Link Road,yes,,1,Ward 61,ANAND NAGAR1,ANAND NAGAR,552,272,255,25
227895915,01-Oct-21,87,10,Raigad Military School,,school,,1,Ward 61,unk1,unknown_4,626,37,150,439
227895916,01-Oct-21,74,50,random_20,,residential,,1,Ward 61,JBCN SCHOOL LANE2,Serenity,1116,349,368,399
227895917,01-Oct-21,86,26,random_21,,residential,,1,Ward 61,JBCN SCHOOL LANE2,Serenity,400,226,170,4
228031928,01-Oct-21,93,17,Samruddhi CHS,Oshiwara Link Road,residential,,1,Ward 61,Walawalkar1,Walawalkar,739,60,346,333
228031929,01-Oct-21,86,30,Oshiwara Basera,,residential,,1,Ward 61,Walawalkar1,Walawalkar,421,41,165,215
228031930,01-Oct-21,36,18,East Side Apartments,,apartments,,1,Ward 61,Walawalkar1,Walawalkar,742,383,254,105
228031933,01-Oct-21,51,49,Anand Vihar,,residential,,1,Ward 61,Walawalkar1,Walawalkar,657,298,1,358
249860327,01-Oct-21,56,5,Meera C.H.S.,"Link Road Extension, Oshiwara, Andheri West",residential,,1,Ward 61,MEGA MALL 1,unknown_3,1042,489,470,83
249860328,01-Oct-21,75,31,random_22,,yes,,1,Ward 61,Techweb centre,Tarapore Garden,1041,288,284,469
249860330,01-Oct-21,100,4,random_23,,yes,,1,Ward 61,Techweb centre,Tarapore Garden,670,39,447,184
249860331,01-Oct-21,91,48,random_24,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,581,96,85,400
249860335,01-Oct-21,17,31,random_25,,yes,,1,Ward 61,Walawalkar2,Walawalkar,513,17,300,196
249860339,01-Oct-21,44,13,Sanskar,,apartments,,1,Ward 61, Evershine Green,maheshwari chowk,1187,287,481,419
249860342,01-Oct-21,73,26,random_26,,yes,,1,Ward 61, Evershine Green,maheshwari chowk,713,330,254,129
249860343,01-Oct-21,45,8,Tarapore Towers,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,822,67,374,381
249860344,01-Oct-21,21,17,random_27,,yes,,1,Ward 61,MEGA MALL 1,unknown_3,1054,462,253,339
249860345,01-Oct-21,26,11,random_28,,apartments,,1,Ward 61,MEGA MALL 2,unknown_3,245,133,31,81
249860353,01-Oct-21,50,35,random_29,,apartments,,1,Ward 61,Milliennium Court,maheshwari chowk,355,207,122,26
249860355,01-Oct-21,89,37,random_30,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,704,289,318,97
249860360,01-Oct-21,21,37,random_31,,yes,,1,Ward 61,Walawalkar2,Walawalkar,991,151,491,349
249860365,01-Oct-21,64,11,random_32,,apartments,,1,Ward 61, Evershine Green,maheshwari chowk,644,183,373,88
249860366,01-Oct-21,34,21,random_33,,yes,,1,Ward 61,MEGA MALL 1,unknown_3,798,316,226,256
249860369,01-Oct-21,17,37,random_34,,apartments,,1,Ward 61,MEGA MALL 2,unknown_3,1113,475,233,405
249860374,01-Oct-21,19,1,random_35,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,383,143,195,45
249860375,01-Oct-21,37,27,random_36,,apartments,,1,Ward 61,Milliennium Court,maheshwari chowk,767,92,469,206
249860377,01-Oct-21,36,42,random_37,,yes,,1,Ward 61,Walawalkar1,Walawalkar,964,50,468,446
249860383,01-Oct-21,33,38,random_38,,apartments,,1,Ward 61, Evershine Green,maheshwari chowk,627,245,2,380
249860384,01-Oct-21,19,3,Sargam,,apartments,,1,Ward 61,MEGA MALL 2,unknown_3,1006,292,483,231
249860386,01-Oct-21,100,10,random_39,,apartments,,1,Ward 61,MEGA MALL 1,unknown_3,623,350,210,63
249860389,01-Oct-21,73,17,Marigold Apartments,Off New Link Road,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,954,403,251,300
249860393,01-Oct-21,13,44,random_40,,apartments,,1,Ward 61,Milliennium Court,maheshwari chowk,878,305,107,466
249860394,01-Oct-21,72,50,Link Way,,yes,,1,Ward 61,Walawalkar2,Walawalkar,717,132,199,386
249860396,01-Oct-21,43,4,random_41,,apartments,,1,Ward 61,MEGA MALL 2,unknown_3,749,329,417,3
249860398,01-Oct-21,77,40,random_42,,apartments,,1,Ward 61,MEGA MALL 1,unknown_3,809,190,272,347
249860399,01-Oct-21,43,15,random_43,,yes,,1,Ward 61,MEGA MALL 1,unknown_3,688,111,134,443
249860402,01-Oct-21,5,1,random_44,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,461,71,117,273
249860408,01-Oct-21,63,49,random_45,,apartments,,1,Ward 61,Milliennium Court,maheshwari chowk,1098,368,327,403
249860410,01-Oct-21,86,18,random_46,,apartments,,1,Ward 61,MEGA MALL 2,unknown_3,399,261,97,41
249860412,01-Oct-21,67,31,random_47,,apartments,,1,Ward 61,MEGA MALL 1,unknown_3,783,300,146,337
249860415,01-Oct-21,98,6,random_48,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,765,246,354,165
249860418,01-Oct-21,47,25,random_49,,apartments,,1,Ward 61,MEGA MALL 2,unknown_3,619,63,209,347
249860421,01-Oct-21,1,46,random_50,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,1107,329,445,333
249860424,01-Oct-21,75,31,random_51,,yes,,1,Ward 61,Walawalkar2,Walawalkar,1048,452,261,335
249860425,01-Oct-21,96,37,random_52,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,813,165,307,341
249860428,01-Oct-21,68,45,random_53,,apartments,,1,Ward 61,MEGA MALL 2,unknown_3,572,219,204,149
249860429,01-Oct-21,69,42,random_54,,apartments,,1,Ward 61,MEGA MALL 2,unknown_3,720,146,132,442
249860432,01-Oct-21,64,25,Utsav,,apartments,,1,Ward 61, Evershine Green,maheshwari chowk,556,170,1,385
249860433,01-Oct-21,71,33,random_55,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,846,276,400,170
249860434,01-Oct-21,55,32,Garden View - Dr Kaushal Shah's Residence,Off New Link Rd,yes,,1,Ward 61,Walawalkar1,Walawalkar,275,104,44,127
249860438,01-Oct-21,51,14,Rajrani Malhotra Vidyalaya,,school,,1,Ward 61,Walawalkar2,Walawalkar,715,95,314,306
249860442,01-Oct-21,85,38,random_56,,apartments,,1,Ward 61,Milliennium Court,maheshwari chowk,722,195,223,304
249860444,01-Oct-21,89,30,random_57,,apartments,,1,Ward 61,MEGA MALL 2,unknown_3,682,323,6,353
249860449,01-Oct-21,41,50,Rajnigandha,,apartments,,1,Ward 61, Evershine Green,maheshwari chowk,1078,385,340,353
249860451,01-Oct-21,27,32,random_58,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,466,175,276,15
249860456,01-Oct-21,95,25,random_59,,yes,,1,Ward 61,Walawalkar2,Walawalkar,592,139,186,267
249860462,01-Oct-21,11,37,random_60,,apartments,,1,Ward 61,Milliennium Court,maheshwari chowk,1065,149,441,475
249860466,01-Oct-21,92,6,Kaveri,,apartments,,1,Ward 61,MEGA MALL 2,unknown_3,955,314,172,469
249860469,01-Oct-21,81,33,random_61,,apartments,,1,Ward 61,Milliennium Court,maheshwari chowk,780,28,373,379
249860471,01-Oct-21,20,5,random_62,,yes,,1,Ward 61,Techweb centre,Tarapore Garden,617,129,354,134
249860500,01-Oct-21,25,42,Tarapore Towers,,apartments,,1,Ward 61,Daimond /Pearl,Tarapore Towers,439,91,229,119
249864713,01-Oct-21,57,5,random_63,,apartments,,1,Ward 61,Milliennium Court,maheshwari chowk,596,310,270,16
249897526,01-Oct-21,27,15,random_64,,yes,,1,Ward 61,ANAND NAGAR2,ANAND NAGAR,386,8,162,216
249897534,01-Oct-21,44,21,random_65,,yes,,1,Ward 61,ANAND NAGAR2,ANAND NAGAR,599,208,324,67
249897536,01-Oct-21,52,44,random_66,,yes,,1,Ward 61,GREEN PARK,Heera Panna,1053,468,283,302
249897537,01-Oct-21,32,34,random_67,,yes,,1,Ward 61,GREEN PARK,Heera Panna,644,67,407,170
249897540,01-Oct-21,12,20,random_68,,yes,,1,Ward 61,ANAND NAGAR1,ANAND NAGAR,891,79,383,429
249897546,01-Oct-21,3,9,random_69,,yes,,1,Ward 61,ANAND NAGAR2,ANAND NAGAR,637,196,72,369
249897555,01-Oct-21,5,16,random_70,,yes,,1,Ward 61,ANAND NAGAR2,ANAND NAGAR,757,429,189,139
249897558,01-Oct-21,11,40,random_71,,yes,,1,Ward 61,GREEN PARK,Heera Panna,691,47,220,424
249897561,01-Oct-21,91,50,random_72,,yes,,1,Ward 61,ANAND NAGAR2,ANAND NAGAR,374,8,112,254
249897562,01-Oct-21,2,19,random_73,,yes,,1,Ward 61,ANAND NAGAR2,ANAND NAGAR,806,308,418,80
249897563,01-Oct-21,73,23,random_74,,yes,,1,Ward 61,GREEN PARK,Heera Panna,783,483,187,113
249897567,01-Oct-21,63,4,random_75,,yes,,1,Ward 61,ANAND NAGAR2,ANAND NAGAR,869,287,477,105
249897570,01-Oct-21,98,41,random_76,,yes,,1,Ward 61,GREEN PARK,Heera Panna,651,449,112,90
249897574,01-Oct-21,64,14,random_77,,yes,,1,Ward 61,ANAND NAGAR1,ANAND NAGAR,553,149,20,384
249897575,01-Oct-21,65,13,random_78,,yes,,1,Ward 61,ANAND NAGAR2,ANAND NAGAR,1071,440,481,150
249897576,01-Oct-21,7,42,random_79,,yes,,1,Ward 61,ANAND NAGAR2,ANAND NAGAR,1191,386,463,342
250492234,01-Oct-21,46,12,random_80,,yes,,1,Ward 61,unk11,unknown_1,594,251,182,161
250492235,01-Oct-21,76,31,random_81,,yes,,1,Ward 61,unk11,unknown_1,906,453,441,12
250492238,01-Oct-21,25,9,random_82,,apartments,,1,Ward 61,unk11,unknown_1,772,252,238,282
294272982,01-Oct-21,10,3,Shantivan Bldg no. 4-7,Off New Link Road,residential,,1,Ward 61,Walawalkar2,Walawalkar,708,442,21,245
294276588,01-Oct-21,77,45,random_83,,yes,,1,Ward 61,unk11,unknown_1,1345,482,391,472
294276613,01-Oct-21,31,4,random_84,,yes,,1,Ward 61,unk22,unknown_2,804,472,290,42
294276614,01-Oct-21,18,44,random_85,,yes,,1,Ward 61,unk22,unknown_2,545,137,286,122
